Id,City,State,Country,Full Address,Latitude,Longitude
,StringFilter,StringFilter,StringFilter,MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter
151,Bulawayo,-,Zimbabwe,Bulawayo - Zimbabwe ,-20.1457125,28.5873388
152,-,Abeokuta,Nigeria,- Abeokuta Nigeria ,7.147502,3.3619356
153,Yamoussoukro,-,Ivory Coast,Yamoussoukro - Ivory Coast ,6.8276228,-5.2893433
154,Skopje,-,North Macedonia,Skopje - North Macedonia ,41.9981294,21.4254355
155,-,Bobangui,Central African Republic,- Bobangui Central African Republic ,4.0421547,18.1134546
156,-,-,Democratic Republic of the Congo,- - Democratic Republic of the Congo ,-4.038333,21.758664
157,Buenos Aires,-,Argentina,Buenos Aires - Argentina ,-34.6036844,-58.3815591
158,Laurel,Mississippi,United States,Laurel Mississippi United States ,31.6940509,-89.1306124
159,-,-,Algeria,- - Algeria ,28.033886,1.659626
160,-,-,Barbados,- - Barbados ,13.193887,-59.543198
161,-,-,Brazil,- - Brazil ,-14.235004,-51.92528
162,Cape Coast,-,Ghana,Cape Coast - Ghana ,5.13151,-1.2794744
163,Bonnievale,Cape Province,South Africa,Bonnievale Cape Province South Africa ,-33.9158529,20.0806996
164,-,-,Trinidad,- - Trinidad ,10.691803,-61.222503
165,-,-,Trinidad,- - Trinidad ,10.691803,-61.222503
166,Salisbury,-,Zimbabwe,Salisbury - Zimbabwe ,-17.8216288,31.0492259
167,-,-,Guyana,- - Guyana ,4.860416,-58.93018
168,Milton,Massachusetts,United States,Milton Massachusetts United States ,42.2495321,-71.0661653
169,Cradock,-,South Africa,Cradock - South Africa ,-32.180971,25.6509915
170,-,-,Portuguese Guinea,- - Portuguese Guinea ,,
171,Durban,-,South Africa,Durban - South Africa ,-29.8586804,31.0218404
172,Berlin,Ontario,Canada,Berlin Ontario Canada ,43.4516395,-80.4925337
173,New Orleans,Louisiana,United States,New Orleans Louisiana United States ,29.9510658,-90.0715323
174,San Francisco,California,United States,San Francisco California United States ,37.7749295,-122.4194155
175,Cape Coast,-,Ghana,Cape Coast - Ghana ,5.13151,-1.2794744
176,Wellington,-,South Africa,Wellington - South Africa ,-33.6404794,19.0096562
177,-,-,Czech Republic,- - Czech Republic ,49.817492,15.472962
178,Basse-Pointe,-,Martinique,Basse-Pointe - Martinique ,14.8672508,-61.1155622
179,-,-,Russia,- - Russia ,61.52401,105.318756
180,Luanshya,-,Northern Rhodesia,Luanshya - Northern Rhodesia ,-13.1435017,28.4163103
181,-,-,Poland,- - Poland ,51.919438,19.145136
182,El Jadida,-,Morocco,El Jadida - Morocco ,33.2316326,-8.5007116
183,Kiagbodo,-,Nigeria,Kiagbodo - Nigeria ,5.3786091,5.8960738
184,Kalamazoo,Michigan,United States,Kalamazoo Michigan United States ,42.2917069,-85.5872286
185,Anaconda,Montana,United States,Anaconda Montana United States ,46.1262998,-112.9478359
